0,0
0.0174533,0.0174524
0.0349066,0.0348995
0.0523599,0.052336
0.0698132,0.0697565
0.0872665,0.0871557
0.10472,0.104528
0.122173,0.121869
0.139626,0.139173
0.15708,0.156434
0.174533,0.173648
0.191986,0.190809
0.20944,0.207912
0.226893,0.224951
0.244346,0.241922
0.261799,0.258819
0.279253,0.275637
0.296706,0.292372
0.314159,0.309017
0.331613,0.325568
0.349066,0.34202
0.366519,0.358368
0.383972,0.374607
0.401426,0.390731
0.418879,0.406737
0.436332,0.422618
0.453786,0.438371
0.471239,0.45399
0.488692,0.469472
0.506145,0.48481
0.523599,0.5
0.541052,0.515038
0.558505,0.529919
0.575959,0.544639
0.593412,0.559193
0.610865,0.573576
0.628319,0.587785
0.645772,0.601815
0.663225,0.615661
0.680678,0.62932
0.698132,0.642788
0.715585,0.656059
0.733038,0.669131
0.750492,0.681998
0.767945,0.694658
0.785398,0.707107
0.802851,0.71934
0.820305,0.731354
0.837758,0.743145
0.855211,0.75471
0.872665,0.766044
0.890118,0.777146
0.907571,0.788011
0.925025,0.798636
0.942478,0.809017
0.959931,0.819152
0.977384,0.829038
0.994838,0.838671
1.01229,0.848048
1.02974,0.857167
1.0472,0.866025
1.06465,0.87462
1.0821,0.882948
1.09956,0.891007
1.11701,0.898794
1.13446,0.906308
1.15192,0.913545
1.16937,0.920505
1.18682,0.927184
1.20428,0.93358
1.22173,0.939693
1.23918,0.945519
1.25664,0.951057
1.27409,0.956305
1.29154,0.961262
1.309,0.965926
1.32645,0.970296
1.3439,0.97437
1.36136,0.978148
1.37881,0.981627
1.39626,0.984808
1.41372,0.987688
1.43117,0.990268
1.44862,0.992546
1.46608,0.994522
1.48353,0.996195
1.50098,0.997564
1.51844,0.99863
1.53589,0.999391
1.55334,0.999848
1.5708,1
1.58825,0.999848
1.6057,0.999391
1.62316,0.99863
1.64061,0.997564
1.65806,0.996195
1.67552,0.994522
1.69297,0.992546
1.71042,0.990268
1.72788,0.987688
1.74533,0.984808
1.76278,0.981627
1.78024,0.978148
1.79769,0.97437
1.81514,0.970296
1.8326,0.965926
1.85005,0.961262
1.8675,0.956305
1.88496,0.951057
1.90241,0.945519
1.91986,0.939693
1.93732,0.93358
1.95477,0.927184
1.97222,0.920505
1.98968,0.913545
2.00713,0.906308
2.02458,0.898794
2.04204,0.891007
